"id","state_fips","state_code","state_name"
"84001","01","AL","Alabama"
"84002","02","AK","Alaska"
"84004","04","AZ","Arizona"
"84005","05","AR","Arkansas"
"84006","06","CA","California"
"84008","08","CO","Colorado"
"84009","09","CT","Connecticut"
"84010","10","DE","Delaware"
"84011","11","DC","District of Columbia"
"84012","12","FL","Florida"
"84013","13","GA","Georgia"
"84015","15","HI","Hawaii"
"84016","16","ID","Idaho"
"84017","17","IL","Illinois"
"84018","18","IN","Indiana"
"84019","19","IA","Iowa"
"84020","20","KS","Kansas"
"84021","21","KY","Kentucky"
"84022","22","LA","Louisiana"
"84023","23","ME","Maine"
"84024","24","MD","Maryland"
"84025","25","MA","Massachusetts"
"84026","26","MI","Michigan"
"84027","27","MN","Minnesota"
"84028","28","MS","Mississippi"
"84029","29","MO","Missouri"
"84030","30","MT","Montana"
"84031","31","NE","Nebraska"
"84032","32","NV","Nevada"
"84033","33","NH","New Hampshire"
"84034","34","NJ","New Jersey"
"84035","35","NM","New Mexico"
"84036","36","NY","New York"
"84037","37","NC","North Carolina"
"84038","38","ND","North Dakota"
"84039","39","OH","Ohio"
"84040","40","OK","Oklahoma"
"84041","41","OR","Oregon"
"84042","42","PA","Pennsylvania"
"84044","44","RI","Rhode Island"
"84045","45","SC","South Carolina"
"84046","46","SD","South Dakota"
"84047","47","TN","Tennessee"
"84048","48","TX","Texas"
"84049","49","UT","Utah"
"84050","50","VT","Vermont"
"84051","51","VA","Virginia"
"84053","53","WA","Washington"
"84054","54","WV","West Virginia"
"84055","55","WI","Wisconsin"
"84056","56","WY","Wyoming"
"84060","60","AS","American Samoa"
"84066","66","GU","Guam"
"84069","69","MP","Northern Mariana Islands"
"84072","72","PR","Puerto Rico"
"84074","74","UM","U.S. Minor Outlying Islands"
"84078","78","VI","U.S. Virgin Islands"